"SubscriptionName","VMName","ResourceGroup","WorkspaceId","WorkspaceName","WorkspaceResourceGroup","workspaceResourceId"
"LTM-STAGINGSUB","VM-STGADDS-01","INFRA-UKS-STAGINGRG","8024d12c-e8da-4e95-bab8-cfae94f405f4","LA-LTM-STG-UKS-EXP-01","infra-uks-stg-experian","/subscriptions/96d5fbcf-48cd-4d54-a592-1efbbd7adc27/resourcegroups/infra-uks-stg-experian/providers/microsoft.operationalinsights/workspaces/la-ltm-stg-uks-exp-01"
"LTM-STAGINGSUB","ACE-STG-EXP-01","INFRA-UKS-STG-EXPERIAN","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-UATSUB","ACE-UAT-EXP-01","INFRA-UKS-UAT-EXPERIAN","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-UATSUB","ACE-UAT-ORIG-01","INFRA-UKS-UATRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-UATSUB","ACE-UAT-RDS-01","INFRA-UKS-UATRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-UATSUB","ACE-UAT-SER-01","INFRA-UKS-UATRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-UATSUB","ACE-UAT-SQL-01","INFRA-UKS-UATRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-UATSUB","ACE-UAT-WEB-01","INFRA-UKS-UATRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"LTM-UATSUB","VM-UATADDS-01","INFRA-UKS-UATRG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"ITC-PROD-SUB","AZ-ITCLOG-FD-01","ITC-PROD-RG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
"ITC-PROD-SUB","AZ-ITCLOG-FD-02","ITC-PROD-RG","adb96903-1d87-4cef-9d3e-afadcb0dad97","ITC-PROD-LAW","itc-prod-rg","/subscriptions/8adf6854-f88a-4543-bc1d-c39b35d0acac/resourcegroups/itc-prod-rg/providers/microsoft.operationalinsights/workspaces/itc-prod-law"
